id_1,id_2,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
0,199,0,0,2,1,1,0,1,1,1,1,1,1,0,0
0,200,0,1,1,1,0,1,1,1,1,1,1,1,0,0
0,201,0,0,2,1,0,1,1,1,1,1,1,1,0,0
0,202,0,0,2,1,0,1,1,1,1,1,1,1,0,0
0,139,0,0,2,1,0,1,1,1,0,1,1,1,1,0
0,223,0,0,2,1,0,1,1,1,0,1,1,1,0,0
1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1,396,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1,398,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,81,0,0,2,1,0,1,1,1,1,0,0,0,0,0
1,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,99,0,0,1,0,1,1,1,0,1,0,1,0,0,0
2,81,0,0,2,1,0,1,1,1,1,0,0,0,0,0
2,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,414,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,256,0,0,2,0,0,0,0,0,1,0,0,1,0,0
3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,146,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,255,0,0,2,0,1,0,0,0,0,0,0,1,0,0
4,256,0,0,2,0,0,0,0,0,1,0,0,1,0,0
4,258,0,0,2,0,0,0,0,0,1,1,0,1,0,0
4,259,0,1,2,1,0,0,0,0,1,1,0,1,0,0
4,368,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,255,0,0,2,0,1,0,0,0,0,0,0,1,0,0
5,371,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,95,0,0,2,0,0,0,0,0,0,0,1,0,0,0
6,365,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,369,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,371,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,157,0,0,2,1,1,1,1,1,1,1,1,1,1,0
6,95,0,0,2,0,0,0,0,0,0,0,1,0,0,0
7,96,0,0,2,0,0,0,1,1,1,0,1,0,0,0
7,366,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,367,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,370,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,57,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7,95,0,0,2,0,0,0,0,0,0,0,1,0,0,0
8,96,0,0,2,0,0,0,1,1,1,0,1,0,0,0
8,366,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,336,0,0,1,0,1,0,0,1,0,0,0,0,0,0
8,403,0,0,2,0,1,1,1,1,1,1,0,0,0,1
8,405,0,0,2,1,0,1,1,1,1,1,1,1,1,1
8,159,0,0,2,1,0,1,1,1,1,1,1,1,1,0
9,81,0,0,2,2,0,1,1,1,1,0,0,0,0,0
9,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10,106,0,0,1,2,0,0,1,1,1,0,1,0,0,0
10,396,0,0,1,1,0,0,0,1,0,0,0,0,1,1
10,268,0,0,1,1,1,0,1,1,1,0,0,1,0,0
10,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0
10,81,0,0,2,2,0,1,1,1,1,0,0,0,0,0
10,375,0,0,2,1,0,0,0,0,0,0,0,0,0,0
10,319,0,0,1,1,0,0,1,1,1,0,0,0,0,0
11,193,0,0,0,2,0,1,1,1,1,1,1,1,0,0
11,195,0,0,0,2,0,1,1,1,1,1,1,1,0,0
11,228,0,0,1,2,0,1,1,1,0,0,1,1,0,0
11,229,0,0,0,2,0,1,1,1,0,1,0,1,0,0
11,341,0,0,1,2,0,0,1,1,0,0,0,0,0,0
11,190,0,0,1,2,0,1,1,1,0,0,0,1,0,0
11,191,0,0,0,2,0,1,1,1,1,0,1,1,0,0
12,64,0,0,1,1,0,0,0,0,1,0,0,0,0,0
12,298,0,0,1,2,0,0,0,0,0,1,0,0,0,0
12,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0
12,241,0,0,2,2,0,0,0,0,0,0,0,1,0,0
12,20,0,0,2,2,1,0,0,0,0,0,0,0,0,0
13,303,0,0,2,1,0,0,0,0,0,1,0,0,0,0
13,241,0,0,2,2,0,0,0,0,0,0,0,1,0,0
13,20,0,0,2,2,1,0,0,0,0,0,0,0,0,0
