y_meters,x_meters,elev,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
752979.7207,1220828.33,1070, , , , , , ,M, , , ,L, , , 
726988.853,1294242.104,1110, , ,M, , , , , , , ,L, , , 
719029.301,1299732.058,1052, , ,L, , , ,L,L,L, ,L, , , 
720826.0808,1341591.343,1157, , , , , , , , , , ,L, , , 
717123.6346,1336906.975,1178, , , , , , , ,L,L,L,L, , , 
693110.8175,1317207.656,873, , , , ,M,L,M, ,L, ,L, , , 
691721.1204,1332638.065,1066, , , ,M, ,S,L, , ,L,L, , , 
692125.0946,1335520.163,1086, , ,L,M, ,S,M,S,M,L,L, , , 
683752.7146,1312194.853,1347, , ,M,L,L,L,S,L, ,L,L, , , 
678293.1464,1359242.374,1147, , , , , , , , , , ,L, , , 
680797.3536,1352615.461,1229, , , , , , , , , , ,L, , , 
680883.0314,1310047.263,1097, , ,L,S,L,L,S,M,M,M,L, , , 
679765.2838,1279543.455,1246, , , ,L, , ,M,L,L, ,L, , , 
670570.1654,1363565.565,1138, , , , , , ,M,L, , ,L, , , 
659335.0058,1362039.587,1036, , , , , , ,M,L, ,L,L, , , 
659142.0016,1360950.576,1245, , , , , , ,M,L, ,L,L, , , 
665612.8077,1358364.982,1272, , , , , , ,M,L, , ,L, , , 
665717.0405,1357775.843,1252, , , , , , ,M,L, , ,L, , , 
675426.8047,1350255.64,1081, , , , , , , ,M, , ,M, , , 
671699.4252,1326118.761,1226, , , , , , , , ,L, ,L, , , 
673248.2541,1327849.892,1059, , , , , , , , ,L, ,L, , , 
672916.4476,1313990.891,845, , ,L, , , ,L,L, ,L,L, , , 
670410.2444,1353869.592,931, , , , , , , ,L, , ,L, , , 
669908.158,1315658.718,1096, , ,L, , , ,L,M,L, ,L, , , 
660353.1997,1349861.139,1252, , , , , , , , ,L,L,M, , , 
652999.3716,1315285.137,1252, , , , , ,L, , ,L, ,L, , , 
659769.1301,1349698.184,1278, , , , , , , , , ,L,L, , , 
659498.3518,1297396.705,1333, , ,L,L,L, ,M,L,L,L,L, , , 
657418.7681,1308563.628,1429, , , , , ,L, , , ,L,L, , , 
646556.8944,1342685.752,1035, , , , , , , , , ,L,L, , , 
641027.6291,1296879.148,1326, , , , , , ,M,M,L, ,L, , , 
841328.6432,1244859.928,849, , , , , , , , , , , ,L, , 
847179.6668,1233650.165,746, , , , , , , , ,L, , ,L, , 
807736.7449,1268233.031,909, , , , , ,L, ,L,L, , ,L, , 
809132.6412,1269418.559,896, , , , , ,L, ,L,L, , ,L, , 
817204.9088,1260926.972,932, , , ,L,L, ,L, ,L,L,L,L, , 
829741.7885,1243355.811,591, , , ,L, ,L, , ,L,L,M,M,L, 
820510.5544,1255340.846,844, , , ,S,M, , , ,L,L,L,S,L, 
801609.7279,1252002.784,760, , ,L, ,L,L,M,M, ,L,M,L,L, 
801675.8475,1263399.617,791, , ,L,L,L,L,L,L,L,M,L,L,L, 
800083.6422,1265176.279,948, , ,L, ,L,L,L, , ,M,L,M,L, 
795600.1437,1271828.004,629, , , ,S, ,M,L,L,M,M,M,M,L, 
786306.2151,1190905.578,862, , , , ,L,M,M,M,L,S,M,L,L, 
786754.4054,1253908.689,788, , ,L,M, , ,M,L, ,L,L,L,L, 
785484.9911,1255213.095,671, , ,L,M, , ,M,L, ,M,L,M,L, 
772815.1492,1268164.864,1012, , ,L,L, ,L,L,L, ,L,L,M,L, 
765645.3617,1226037.382,918, , , ,L,S,L,M,L,M,M,L, ,L, 
749115.827,1266462.295,1293, ,L,L,L, ,L,L, , ,L, ,L,L, 
759442.3536,1262509.323,878, ,L,L,L, ,L,M,L,L,L, ,L,L, 
749170.3243,1261946.719,1106, ,L, ,L, ,L,L,L,L,L, ,L,L, 
748647.5075,1262763.762,1150, ,M, ,L, ,L,L,L,L,L, ,L,L, 
754320.8254,1264704.768,1146, ,L,L,L, ,L,L,L,L,L, ,L,M, 
747702.3226,1294955.67,1055, , , , , , , , , , , , ,L, 
746260.8995,1246620.83,1136, , ,S,L,L,L, , , ,L,L,M,L, 
745830.181,1267658.184,1227, ,M,L,L, ,M,L,L,L, , ,L,M, 
735280.1404,1234811.026,1218, , , , , , ,L, , , , , ,L, 
732627.6354,1245368.609,949, , ,L, ,L, , ,L,L,L, ,L,L, 
733585.2497,1246762.195,841, , ,S,L,L, ,L,L,L,L, ,L,L, 
740881.8463,1277748.361,985, ,L,L,L, , , , , ,L, , ,L, 
740181.8125,1275620.968,1226, ,L,L,L, ,L,L,L,L,L, , ,M, 
735746.5909,1258476.123,797, , ,M,L, , , , ,L, , ,L,L, 
736063.6953,1271192.563,1239, ,M, ,L,L, ,L, , ,L, ,L,L, 
731973.9476,1260481.458,993, , , ,L,L, ,L, , , , ,L,L, 
724714.7306,1284442.786,1213, , ,L,L,M,L,L,L,L,L,L,L,L, 
722910.2362,1284461.026,1219, , ,L,L, ,L,L,L,L,L,L,L,L, 
722594.9772,1286824.863,1211, , ,L,L, ,L,L,L,L,L,L,L,L, 
720590.567,1283345.858,1166, , ,L,L, ,L,L, ,M,L, ,L,L, 
716444.2077,1266503.969,1216, , , , ,L,L, ,L,L, , , ,L, 
716936.8877,1274935.66,1198, , , , ,L,L, ,L, , , ,L,L, 
694848.7924,1273567.432,1339, , , , , , , , , , , ,L,L, 
653036.2869,1270262.283,1102, , , , ,L, ,M,L, , , , ,L, 
622425.6808,1325800.501,976, , , , , , ,L, , , , , ,L, 
814843.4828,1257076.044,898, , , , ,M,L,M,L,L,L,M,L, , 
806029.0963,1266573.855,885, , , , , , ,L,L,L,L,L,L, , 
810742.2045,1258265.527,818, , ,L, ,M,L,L,L,L,L,L,L, , 
804028.8567,1263361.532,963, , ,L, ,L,L,L,L,L,L,L,L, , 
808097.9066,1256140.133,928, , ,L, ,M,L,L,M,L,L,L,L, , 
799815.9998,1268896.029,878, , , ,L,L,L, ,L,M,L,M,L, , 
813364.538,1267468.245,780, , , , ,L, , , ,L,L, ,L, , 
815945.6739,1267865.568,934, , , , , , , , , , , ,L, , 
798957.4222,1253596.569,495, , , ,L,L,L,M,M,L,S,M,L, , 
800594.134,1253142.628,615, , , , , ,L,M,M, ,M,M,L, , 
807227.3026,1250745.76,817, , , , ,L,L,M,S,L, ,L,L, , 
787889.0054,1240166.221,1054, , , , , , , , , , , ,L, , 
800001.3925,1230511.79,1233, , , , , , ,S, ,L, , ,L, , 
794134.0117,1230835.074,1204, , , , , , , ,L,L, , ,L, , 
780759.3395,1224666.263,1269, , , ,L,L,M, , , ,L, ,L, , 
779227.3909,1223832.957,1293, , , ,L,L,M, , , ,L, ,L, , 
788837.1244,1230348.737,1218, , , , ,L,L,M, , ,L, ,L, , 
782757.6267,1237548.235,1009, , , ,L,M,M,S, , ,L, ,L, , 
790290.9411,1236145.787,1081, , , , ,L,M,S, , ,L, ,L, , 
789769.0431,1231564.252,1230, , , , ,L,L,M,M,L,L, ,L, , 
790340.0461,1232490.406,1229, , , , ,L,L,M,M, ,L,M,L, , 
777170.704,1223535.839,1225, , , ,L,L,S,L, ,L,L, ,L, , 
803391.8441,1261455.618,920, , ,L,L, ,L,L,L,L,M,L,M, , 
771494.1207,1253618.167,434, , , ,L, , ,L, , , , ,L, , 
776299.6385,1290153.04,835, , ,M,M, ,L,M,L, , , ,L, , 
782927.0697,1282752.398,920, , , ,M, ,L,M,L,L, ,L,L, , 
793837.5484,1266977.417,920, , , ,L, ,L,M,L,L,L,L,L, , 
785658.2676,1276941.893,930, , , ,L, ,L,L,L,L,L,L,L, , 
787397.5423,1274003.13,951, , , ,L, ,L,L,L,L,L,L,L, , 
785518.7726,1279595.44,816, , , ,M, ,L,L,L,L,L,L,L, , 
788646.09,1262161.11,917, , ,L,L, , ,L,L,L,L,L,L, , 
771899.9536,1256487.751,970, , ,L,L, , ,L,L,L,L,L,L, , 
789016.2865,1259042.574,929, , ,L,L,M, ,L,L,L,L,L,L, , 
786109.8782,1259947.521,941, , ,L,M,M, ,L,L,L,L,L,L, , 
771773.7566,1260838.195,1167, ,L, ,L, ,L,L,L,L,L,L,L, , 
783921.7182,1270489.109,917, , ,L,L, ,L,L,L,L,L,L,L, , 
774886.5617,1257237.069,712, , ,L,L, ,L,L,L,L,M,L,L, , 
798648.5234,1264628.772,731, , , , ,L,L,L, , ,M,M,M, , 
796290.9891,1279332.393,797, , , , , , ,L, , , , ,L, , 
798550.5403,1280790.601,804, , , ,L, , ,L,L,L, , ,L, , 
791866.0042,1281691.822,809, , , ,S, ,L,L,L,L,L,L,L, , 
773786.7545,1201691.763,846, , , , ,M,S,S,L,L,L, ,L, , 
775776.7591,1200726.068,955, , , , ,L,S,S,L, ,L, ,L, , 
784812.6014,1198148.398,1255, , , , , , , ,L, , , ,L, , 
784491.4074,1202624.627,1319, , , , , , , , , , , ,L, , 
791287.0476,1192807.658,1048, , , , , , , , , , , ,L, , 
789933.0925,1180715.707,910, , , , ,L, ,S,M,S,L, ,M, , 
790533.647,1167887.57,912, , , , , ,L,L,M,M,L, ,M, , 
788476.4023,1231886.017,1197, , , , , ,M,S,M,L,L, ,M, , 
785072.2173,1229562.231,1044, , , , , ,M,S, , ,L, ,M, , 
780483.2976,1219222.121,1252, , , , ,L, , , , , , ,L, , 
776592.888,1182233.42,1064, , , , , , , , , , , ,L, , 
776195.7853,1175052.486,1071, , , , , , , , , , , ,L, , 
780821.7916,1187650.472,894, , , , ,L,M,S,L,L,M, ,L, , 
781346.1474,1185009.68,941, , , , , ,M,M, , ,L, ,L, , 
779599.5749,1184892.154,989, , , , , ,M,M,L, ,L, ,L, , 
776291.9469,1270732.825,966, , ,L,L, ,L,L,L, ,L,L,M, , 
778841.8331,1268493.624,965, , ,L,L, ,L,L,L, ,L,L,M, , 
774097.253,1272781.865,939, , ,M,L, ,L,L,L, ,L,L,M, , 
771787.6203,1277728.768,941, , ,M,L, ,L,M,L, ,L,L,M, , 
771665.4169,1279118.452,947, , ,M,L, ,L,M,L, , ,L,M, , 
772317.5401,1278174.237,945, , ,M,L, ,L,M,L, , ,L,M, , 
773365.1577,1278855.709,921, , ,M,L, ,L,M,L, , ,L,M, , 
777039.7389,1274418.046,914, , , ,L, ,L,L,L, ,L, ,M, , 
777244.0445,1211690.369,1259, , , , , ,M, ,L, , , ,L, , 
780028.3253,1211372.657,1269, , , , , , , , ,L, , ,L, , 
777243.0615,1210519.556,1236, , , , , ,S, ,L,L,L, ,L, , 
772423.6759,1236544.322,1049, , , , , , , , , ,L, ,L, , 
776979.5632,1232419.29,1140, , ,L, ,M,M,M,L,L,L, ,L, , 
775324.0193,1234062.131,1217, , ,L,M,M,M,M,L,L,L, ,L, , 
778550.7831,1231785.909,1132, , ,L,M,M,M,M,L,L,L, ,L, , 
776322.0281,1230592.362,1228, , ,L,M,M,M,M,L,L,L, ,L, , 
773209.3123,1228993.105,1156, , , , , ,M, , , ,M, ,L, , 
772256.4772,1229123.401,1205, , ,L, ,M,L,L,L,L,M, ,L, , 
774442.9461,1243187.156,928, , ,L, ,L,L,L,M, ,L, ,L, , 
765114.3445,1281824.033,1049, , ,M,L, , , , , , , ,L, , 
765601.5686,1266414.962,924, ,L,L,L, , , , ,L, , ,L, , 
764754.0506,1273774.245,1004, , ,M,L, , , , ,L,L, ,L, , 
769451.5427,1214186.771,950, , , , ,L,M,S,L, ,M, ,L, , 
764217.8463,1202550.387,1052, , , , , ,L, ,L,L,M, ,L, , 
761113.3501,1202456.254,1244, , , , , , ,L, , ,L, ,L, , 
764364.8812,1229676.691,583, , , , ,M,L, , , , , ,L, , 
738140.863,1239907.8,985, , , , , ,L, , , , , ,L, , 
758051.2992,1239618.844,904, , , , ,M, ,M, , , , ,L, , 
747298.7957,1241415.252,1295, , , , ,L, , , , ,L, ,L, , 
761526.331,1236494.787,731, , , ,L,M,L,M,M,M,L, ,L, , 
743776.6011,1235957.81,1258, , , , ,L, ,L,L,L,L, ,L, , 
750285.1694,1246010.311,1240, , , ,L,L,M, , , ,M, ,L, , 
745236.183,1242632.366,1212, , , , ,L, , ,L, , , ,L, , 
739929.5283,1293197.219,1068, , ,M, ,L, , , , , , ,L, , 
745698.4287,1289216.995,1091, , ,M, , , , , ,L, , ,L, , 
748387.2346,1283072.005,1089, , , , , , , , ,L, , ,L, , 
746675.8249,1286261.473,1092, , ,M, , , , , ,L,L, ,L, , 
739119.6246,1281578.772,1094, ,L,L,L, , , , ,L,L, ,L, , 
736029.614,1276964.616,1145, ,L,L,L, , , , , , , ,L, , 
725669.8046,1248860.123,920, , , ,L,L, , ,L, , , ,L, , 
708679.2859,1341392.607,938, , , ,L, , , , , , , ,L, , 
708361.2342,1340860.657,1001, , , ,L, , , , , , , ,L, , 
700985.4159,1343999.054,1168, , , ,L, , , , , , , ,L, , 
695188.8917,1348230.63,1090, , , , , , , , , , , ,L, , 
696560.183,1346200.298,1074, , , , , , , ,L,L, , ,L, , 
695550.5263,1344290.195,1078, , , , , , , ,L,L, , ,L, , 
685491.7775,1308477.521,918, , , , ,M, ,L,L,L, , ,L, , 
670496.497,1358790.064,768, , , , , , , , , , , ,L, , 
635719.8278,1317319.449,1521, , , , , , ,M, ,L,L,L, , , 
635984.4217,1297657.659,1301, , , , , , , , , , ,L, , , 
623881.7716,1324136,1331, , , , , , ,L,L, , ,L, , , 
617318.0268,1318436.136,1111, , , , , , , , , ,L,M, , , 
798856.488,1240589.02,990, , , , , , ,L,L, ,L, , , , 
777345.2324,1222528.582,1220, , , ,L,L,S,L, , ,L, , , , 
780534.3136,1238455.705,934, , , , , , , , , ,L, , , , 
786118.7844,1229589.821,1038, , , , , , , , , ,L, , , , 
818487.5811,1263954.099,916, , , , , , , , , ,L, , , , 
786713.7724,1173062.708,914, , , , , ,L,S,L, ,L, , , , 
789357.0508,1176910.23,785, , , , , ,M,S,L, ,L, , , , 
787370.0499,1177381.763,944, , , , ,L,M,S,L,L,L, , , , 
782455.6451,1176815.929,1057, , , , , , , , , ,L, , , , 
787832.4536,1180430.34,947, , , , ,L,S,S,L,L,M, , , , 
773809.7081,1187455.89,1043, , , , , ,M,S,L, ,L, , , , 
767554.4633,1237066.71,945, , ,L, ,L, ,M, , ,L, , , , 
771145.2234,1238592.027,954, , , , , , , , , ,L, , , , 
772439.592,1205563.093,771, , , , ,M,S,M, , ,L, , , , 
770750.0779,1183960.923,1096, , , , , ,L, , , ,M, , , , 
767473.1995,1194796.828,1090, , , , , ,L, ,L, ,M, , , , 
771080.5964,1190620.221,1073, , , , , ,S,S,L,L,M, , , , 
772696.8795,1193795.916,780, , , , , ,S,S,M,L,M, , , , 
768130.0176,1199090.845,975, , , , ,M,S,S,L,M,M, , , , 
774894.9827,1195558.918,700, , , , , , , , , ,M, , , , 
770443.61,1305073.171,917, ,M,L,L,L, ,L, , ,L, , , , 
771037.402,1305172.76,931, , ,L,L, , , , , ,L, , , , 
761035.3182,1218510.681,927, , , , ,L,L,M,L,L,L, , , , 
762314.2682,1189080.762,1161, , , , , , , , , ,L, , , , 
755784.5053,1274801.012,1060, , , ,L, , , , , ,L, , , , 
760299.9962,1298768.585,998, , ,M,L, , , ,L, ,L, , , , 
745351.2369,1335158.041,1084, , , , , , , , ,L,L, , , , 
744345.4205,1334292.091,1083, , , , , , , ,L,L,L, , , , 
759388.1908,1322687.946,941, ,S,M,L,L, ,L, ,L,L, , , , 
