CELL_ID,PC_Urban.PC1
210375,-1.082011505
175551,-1.042646995
89500,-1.016415663
207605,-1.015972547
177639,-1.007267205
175559,-0.995155403
163246,-0.99199854
176884,-0.978662514
200127,-0.957303665
170050,-0.956511086
224080,-0.946951778
182413,-0.925526511
178285,-0.917978973
178966,-0.889631905
148236,-0.887925424
177650,-0.882423459
155765,-0.850578817
155082,-0.820641494
178313,-0.797374182
184452,-0.794987632
174882,-0.765768426
179650,-0.757254192
172819,-0.743461117
190591,-0.735791613
172869,-0.713151923
120331,-0.710070038
173542,-0.708500943
204969,-0.70368355
119654,-0.689406021
157114,-0.682607826
177631,-0.681639912
179673,-0.665389709
139399,-0.642994245
148251,-0.639780438
192624,-0.638986938
176267,-0.636538917
193322,-0.599656423
182383,-0.596152333
175560,-0.585368152
178994,-0.58008724
200204,-0.574845338
144174,-0.571308735
178989,-0.569974136
187171,-0.567364646
144841,-0.563615663
195380,-0.55610294
174228,-0.547016662
173543,-0.546801956
178299,-0.544898921
180400,-0.544031781
164629,-0.541907826
183788,-0.539147935
177609,-0.529859375
173512,-0.520564441
141444,-0.516891445
146887,-0.506991304
179692,-0.505932453
173477,-0.49220687
157126,-0.489193676
173501,-0.484790571
144156,-0.483064767
151668,-0.470778825
113432,-0.464411815
171502,-0.463648497
150303,-0.454606364
176960,-0.450567518
184413,-0.427051057
210365,-0.418665272
178301,-0.415401254
183764,-0.412676826
189226,-0.395923818
177652,-0.388213475
166001,-0.385449224
178329,-0.378356809
179652,-0.373815408
186474,-0.369728124
144836,-0.366830218
196718,-0.358209219
174911,-0.338227554
170132,-0.337633302
213119,-0.33348629
181020,-0.309000944
185796,-0.30514383
184478,-0.304062728
141452,-0.300813373
174876,-0.298913423
173552,-0.292742088
145548,-0.291748405
176929,-0.282010244
187160,-0.279792874
173553,-0.258377094
157836,-0.256439645
178344,-0.256080144
175603,-0.24516919
183747,-0.228506693
174202,-0.228248565
185767,-0.228167494
165356,-0.227391136
169453,-0.225182323
174199,-0.224461819
172144,-0.219574829
133250,-0.217797987
143500,-0.212369771
175596,-0.212354661
184471,-0.208170804
155743,-0.204600962
165970,-0.203668688
161260,-0.202447969
173519,-0.200384391
176280,-0.195862121
179016,-0.19032668
181754,-0.186503762
166010,-0.182114963
147593,-0.17886273
164664,-0.178294918
163280,-0.17827478
173513,-0.178233529
181022,-0.176060153
175597,-0.175582868
175572,-0.173315525
164648,-0.1730335
186449,-0.17143083
187227,-0.170001296
155061,-0.161069017
176966,-0.158570333
174234,-0.154605928
153737,-0.153959948
178295,-0.151717721
177615,-0.151608297
178343,-0.145128606
172151,-0.140059201
212375,-0.135857663
136671,-0.135671973
174912,-0.134953513
150319,-0.133226566
166700,-0.130661253
144837,-0.126377117
162625,-0.126325993
172180,-0.123643662
182385,-0.117348283
167385,-0.117208749
148258,-0.11580042
170101,-0.11436558
137302,-0.109404858
169417,-0.108838676
165344,-0.105878165
138722,-0.105620658
168058,-0.101967422
166694,-0.101825028
152372,-0.100361617
173514,-0.098495113
211114,-0.096787595
170784,-0.090579451
165333,-0.087112129
158506,-0.08351655
161242,-0.07856597
178310,-0.07842616
157812,-0.075620635
163274,-0.074408774
159864,-0.074208625
175566,-0.074158249
166691,-0.072850376
166013,-0.072646263
168744,-0.072646249
173529,-0.072525187
195369,-0.071106996
151680,-0.070775796
162591,-0.069021709
172170,-0.065488954
181765,-0.064878352
146228,-0.064577203
164663,-0.064223371
170117,-0.06363087
169428,-0.063540857
163279,-0.062468948
159861,-0.061804827
168066,-0.058641563
181069,-0.056911693
168064,-0.056832506
150324,-0.055766448
140766,-0.053745734
170791,-0.053087761
164643,-0.052397499
151002,-0.0523328
168082,-0.052099348
167404,-0.048183493
183138,-0.046242067
165325,-0.044998487
172183,-0.040883593
128479,-0.040596686
168736,-0.037992739
156464,-0.037302868
168054,-0.036573562
169416,-0.035403811
157144,-0.035105714
161223,-0.033486423
143494,-0.032385872
170130,-0.03229736
165329,-0.027957498
174894,-0.025868769
176965,-0.025623252
211798,-0.025392566
172835,-0.025174004
184431,-0.024360457
179020,-0.024294444
170799,-0.021766393
151001,-0.021504024
163283,-0.021042729
157799,-0.019200035
176932,-0.017647786
153053,-0.017094867
168768,-0.015242021
158505,-0.014277883
150995,-0.013703662
146227,-0.013238123
165351,-0.011775065
145499,-0.011578285
170787,-0.01077316
151006,-0.010413526
140767,-0.009750625
175601,-0.009240112
172865,-0.008446674
169447,-0.006763546
172161,-0.006233676
213846,-0.004734228
164645,-0.003965027
146910,-0.003368765
158518,-0.003185063
167375,-0.000665423
176937,2.93E-05
167381,0.001339251
161901,0.00225551
168060,0.002424506
167376,0.005020194
190571,0.00688718
172150,0.008512886
166697,0.009160162
158524,0.009163486
174913,0.009203065
166721,0.009309214
149640,0.009446646
157839,0.011848727
148256,0.0127889
176942,0.01288781
168748,0.013223257
166699,0.013418095
170798,0.014225448
167399,0.014560065
158508,0.014894675
151004,0.015126252
162617,0.01554401
163985,0.016476878
133940,0.017139118
148276,0.018446864
155098,0.018637683
166711,0.019216883
177646,0.019800039
172839,0.01984391
153724,0.021397254
153040,0.022012838
165999,0.023512901
168084,0.023551973
157117,0.023795804
161218,0.023951901
163967,0.026372222
167398,0.026664974
152362,0.027336593
151005,0.02789077
126447,0.028757279
163984,0.030115621
172164,0.030479634
176256,0.030926407
141450,0.031464107
161226,0.03219187
164641,0.034917957
151686,0.034944218
164646,0.035301191
168062,0.035797365
163300,0.037104566
159192,0.03717046
189885,0.038084034
160556,0.038622625
170137,0.038724466
161221,0.039663042
162615,0.039867391
160540,0.040087564
166696,0.0410652
162595,0.041082818
164647,0.041827868
125757,0.042115582
172836,0.042295674
149641,0.043727644
155093,0.043800425
172149,0.045027515
158516,0.045330882
159178,0.045871623
168762,0.047626005
162609,0.049058893
164670,0.049181177
163304,0.049249185
167403,0.049362007
164665,0.049753726
155787,0.050009484
176281,0.051263042
159208,0.052662131
159808,0.052775164
170134,0.053080496
148953,0.053419741
166009,0.054081205
142130,0.054763511
169434,0.0551607
138039,0.055973872
168086,0.056451477
155782,0.056482957
144863,0.058547011
167380,0.060390985
135991,0.061528965
161241,0.061860111
150314,0.062767953
175575,0.062864727
156466,0.063777763
161922,0.065418223
157147,0.065793049
142816,0.065802192
148271,0.065987485
166710,0.066152523
189887,0.066398909
155780,0.066640152
173516,0.067744565
166695,0.068611514
140769,0.069801365
167378,0.072247507
151688,0.072579735
161253,0.073429092
157133,0.074261482
153733,0.0746437
159874,0.075208551
168765,0.075432979
155777,0.075653122
163301,0.075866706
153048,0.077401907
170110,0.07755802
162604,0.077856336
165331,0.078287491
176284,0.078601786
171485,0.07872831
135985,0.079111789
153050,0.080207393
170116,0.081306087
172851,0.082007907
161925,0.082075077
170781,0.08244188
164635,0.083845621
172867,0.084292718
171477,0.084397493
166017,0.084566996
162616,0.085024148
164661,0.085808978
169429,0.085886862
159200,0.086510947
142817,0.086637512
168078,0.086814055
170114,0.087233025
163278,0.087525634
174231,0.087953629
173533,0.088128874
161920,0.088465319
165316,0.088806391
163302,0.089495114
163303,0.090091356
155090,0.090741007
160575,0.091255976
155774,0.092830838
169446,0.093402911
163979,0.093935819
167391,0.0946435
163272,0.094826489
174920,0.09484379
170112,0.09489317
166701,0.095318504
163289,0.095488602
168079,0.095527328
166034,0.096262363
148274,0.096278612
160563,0.09673693
170126,0.096928718
158511,0.097414236
133899,0.097596818
170125,0.098622405
175568,0.098906081
162605,0.098979312
172155,0.10001275
127112,0.100114291
170785,0.100566317
153043,0.101508724
174209,0.101657981
142131,0.101746292
154415,0.101785964
170118,0.101799183
145542,0.101991806
176931,0.102072129
166035,0.10259627
166718,0.102725498
153730,0.102728306
174914,0.102873578
161259,0.103219271
152367,0.103339343
180383,0.103910579
166029,0.104185894
161926,0.104491874
150999,0.105150299
163974,0.105224643
162588,0.105909356
163290,0.106359607
154420,0.106775321
168767,0.106865534
171475,0.106993588
155779,0.107397959
155105,0.108511703
170136,0.10858555
155085,0.109633367
167397,0.110587256
175579,0.110722705
165355,0.110827968
167402,0.110846946
162618,0.111191863
126436,0.112515979
181071,0.112608771
172840,0.113578319
174204,0.113797746
153728,0.113829161
161921,0.11481195
166705,0.115462859
154414,0.11574392
174915,0.116134862
174207,0.116610119
170804,0.116809985
155104,0.117182904
167386,0.117376574
169442,0.118303635
159199,0.118868974
161933,0.119023307
170818,0.120263264
168769,0.120922638
171490,0.121440645
166706,0.121559752
171496,0.121830483
166720,0.121845325
165348,0.121942377
163306,0.122294734
171486,0.122690674
176252,0.122715322
166036,0.123425591
170111,0.124510637
161924,0.12468068
161899,0.125101314
176946,0.125171148
174888,0.125294409
166015,0.125535983
147590,0.125723087
168083,0.126489599
163298,0.126690846
170108,0.126750374
141451,0.128901525
170807,0.128940007
162624,0.129571319
172175,0.129576974
161243,0.129583133
169440,0.129991191
169451,0.131051418
179024,0.131274534
155101,0.131383753
136666,0.132171361
166707,0.132240798
165327,0.132350677
170794,0.13245891
156460,0.132596147
169424,0.132915251
168738,0.134287336
157152,0.134876812
160553,0.135377025
182448,0.135398528
170119,0.135483826
140086,0.135514268
159876,0.13606457
161240,0.13629982
149636,0.13653357
157827,0.137516978
164644,0.137526014
165337,0.137954102
168763,0.138000771
165354,0.138258987
174198,0.139111366
142129,0.139321397
168755,0.140422765
160536,0.140514037
144177,0.143073759
169441,0.14474531
170792,0.145739904
164652,0.146621615
158513,0.147277661
181070,0.147423587
163286,0.149410322
166702,0.149694286
163291,0.149705199
166714,0.150315741
165350,0.15099932
172168,0.151136383
166713,0.151214483
163953,0.151512427
163951,0.152561704
157838,0.152686009
153734,0.153431653
168761,0.153985861
174862,0.154607673
