CELL_ID,PDMIN,PDMAX,pdMN,pdSTD,pdSUM
162594,3.825995922,2950,597.0161996,864.1326008,59701.61996
162595,70.86331177,2320,730.3281516,711.0038418,73032.81516
162597,2.129338026,78.72340393,62.65537203,24.7239424,6265.537203
162600,2.129338026,2.129338026,2.129338026,0,212.9338026
162601,2.129338026,1758.823486,115.9947678,381.5586711,11599.47678
162602,2.129338026,5466.666504,1000.307518,1318.246173,100030.7518
162604,538.6363525,8542.857422,2471.797659,2460.934443,247179.7659
162605,728.5714111,11666.66699,3773.496812,3544.941708,377349.6812
162606,946.4285889,15016.66699,2702.721171,3176.74485,270272.1171
162607,473.6842041,12266.66699,2137.434302,1231.343711,213743.4302
162609,189.1089172,4706.25,1162.714749,1300.330459,116271.4749
162610,314.0625,27100,2703.454316,2972.141359,270345.4316
162611,950,27100,3815.648805,2742.491381,381564.8805
162612,735,5600,2087.557733,1125.408893,208755.7733
162613,777.777771,5442.856934,1422.329095,699.742205,142232.9095
162614,352.5,19150,2083.03485,3082.096466,208303.485
162615,330.4347839,31200,5153.381638,7540.015164,515338.1638
162616,236.3013763,2242.857178,1171.975647,744.3456283,117197.5647
162617,236.3013763,2263.636475,519.1061957,544.392783,51910.61957
162618,236.3013763,25000,4291.906402,6725.065619,429190.6402
162619,460.563385,11250,3911.068432,3074.812613,391106.8432
162620,1244.444458,4300,2466.72274,935.8611567,246672.274
162621,2076.923096,5375,3271.596807,678.0519554,327159.6807
162622,1923.529419,21300,3546.843221,2023.046649,354684.3221
162623,1376.923096,15366.66699,3783.87144,3117.066973,378387.144
162624,398.1132202,3487.5,1626.470804,884.894027,162647.0804
162625,398.1132202,3342.857178,1782.21496,1003.342636,149706.0566
163246,8.801141739,8.801141739,8.801141739,0,880.1141739
163263,245.8333282,2300,731.2921133,482.9309339,73129.21133
163264,104.7619019,3050,1068.371934,674.237194,106837.1934
163266,419.0909119,2520,644.6641602,428.6816821,64466.41602
163268,668.75,4800,1156.536132,603.5794389,115653.6132
163270,364.4736938,8871.428711,2209.749011,2897.993361,220974.9011
163271,0,10042.85742,2627.326132,2530.516667,262732.6132
163272,716.3934326,3066.666748,1131.504802,515.9416346,113150.4802
163274,37.96658325,52.23880768,38.39474998,2.446924466,3839.474998
163278,70.86331177,3000,691.1251915,1139.522514,69112.51915
163279,70.86331177,78.72340393,77.38718826,2.967382615,7738.718826
163280,78.72340393,759.2592773,94.7829985,98.4956074,9478.29985
163281,2.129338026,1356.25,105.9982173,185.7226708,10599.82173
163283,2.129338026,8322.222656,728.7869006,1377.211348,72878.69006
163284,2.129338026,8322.222656,1169.958907,1902.223602,116995.8907
163286,197.6744232,8542.857422,1261.428264,941.9144417,126142.8264
163287,197.6744232,2433.333252,1072.405,619.8600064,107240.5
163288,197.6744232,6155.555664,1841.086809,1310.899498,184108.6809
163289,894.7368164,2751.612793,1812.646703,590.0450145,181264.6703
163290,189.1089172,14000,1666.888427,2702.070733,166688.8427
163291,189.1089172,24800,1852.226443,4765.852877,185222.6443
163292,314.0625,6560,1222.009083,1034.044649,122200.9083
163293,938.888916,28000,3963.322809,6847.190656,396332.2809
163294,938.888916,19050,3409.776282,3650.782242,340977.6282
163295,1084.615356,10500,2985.186434,1904.976313,298518.6434
163296,1268.75,36675,4189.345356,6318.958508,418934.5356
163297,1418.181763,36675,6843.780327,8715.37666,684378.0327
163298,330.4347839,3737.5,2116.151199,1060.852858,211615.1199
163300,190.0990143,11075,1484.451377,2475.691448,148445.1377
163301,460.563385,8709.09082,3583.864622,2950.011805,358386.4622
163302,285.3333435,2422.222168,951.4355133,683.9439584,95143.55133
163303,285.3333435,4700,1956.77223,938.3482885,195677.223
163304,1328.571411,21300,3600.98222,4161.114203,360098.222
163305,330.7692261,133000,8762.716368,22546.65822,876271.6368
163306,1043.010742,11313.33301,2368.019412,1547.841584,236801.9412
163307,568.75,2433.333252,1415.635865,529.4468793,141563.5865
163936,7.901825905,16.93548393,16.0796637,2.659551455,1527.568051
163944,245.8333282,1864.705933,647.6349179,419.7844053,64763.49179
163946,178.6956482,2633.333252,761.7863483,667.5452225,76178.63483
163947,178.6956482,2492.307617,978.6380069,863.4317725,97863.80069
163949,354.3103333,2385.714355,992.0081528,647.6618494,99200.81528
163950,816.666687,4800,1458.856716,584.332136,145885.6716
163951,364.4736938,2500,1283.390072,562.1456906,128339.0072
163953,716.3934326,3566.666748,1430.054742,531.4450541,143005.4742
163954,37.96658325,2725,702.7613071,780.1090114,70276.13071
163957,37.96658325,37.96658325,37.96658325,0,3796.658325
163958,37.96658325,3809.09082,1421.431833,1194.92398,142143.1833
163959,1027.777832,3809.09082,1921.781936,572.7000703,192178.1936
163961,78.72340393,2333.333252,1252.885463,705.8210914,125288.5463
163962,78.72340393,1689.873413,857.5955573,566.6857261,85759.55573
163963,150.8771973,1545.45459,934.9397653,503.5618097,93493.97653
163965,150.8771973,2315.384521,1543.518926,449.493581,154351.8926
163966,627.777771,8322.222656,1494.479758,849.0311138,149447.9758
163967,315.555542,1739.655151,790.6610358,465.0929592,79066.10358
163968,197.6744232,1300,425.9785846,354.2544457,42597.85846
163969,197.6744232,4344.444336,1238.646131,1521.492598,123864.6131
163970,197.6744232,6383.333496,2099.842724,1374.23374,209984.2724
